"Age band","2014M01","2014M02","2014M03","2014M04","2014M05","2014M06","2014M07","2014M08","2014M09","2014M10","2014M11","2014M12","2015M01","2015M02","2015M03","2015M04","2015M05","2015M06","2015M07","2015M08","2015M09","2015M10","2015M11","2015M12","2016M01","2016M02","2016M03","2016M04","2016M05","2016M06","2016M07","2016M08","2016M09","2016M10","2016M11","2016M12","2017M01","2017M02","2017M03","2017M04","2017M05","2017M06","2017M07","2017M08","2017M09","2017M10","2017M11","2017M12","2018M01","2018M02","2018M03","2018M04","2018M05","2018M06","2018M07","2018M08","2018M09","2018M10","2018M11","2018M12","2019M01","2019M02","2019M03","2019M04","2019M05","2019M06","2019M07","2019M08","2019M09","2019M10","2019M11","2019M12","2020M01","2020M02","2020M03","2020M04","2020M05","2020M06","2020M07","2020M08","2020M09","2020M10","2020M11","2020M12","2021M01","2021M02","2021M03","2021M04","2021M05","2021M06","2021M07","2021M08","2021M09","2021M10","2021M11","2021M12","2022M01","2022M02","2022M03","2022M04","2022M05","2022M06","2022M07","2022M08","2022M09","2022M10","2022M11","2022M12","2023M01","2023M02","2023M03","2023M04","2023M05","2023M06","2023M07","2023M08","2023M09","2023M10","2023M11","2023M12","2024M01","2024M02","2024M03","2024M04","2024M05","2024M06","2024M07","2024M08","2024M09","2024M10","2024M11","2024M12","2025M01","2025M02"
"0-4 years",14,14,8,10,11,24,24,29,37,72,41,40,27,32,51,24,17,14,20,10,38,51,36,50,38,37,42,114,121,89,57,16,9,26,38,14,6,3,6,10,8,7,4,6,8,4,6,5,10,2,6,3,8,11,4,7,9,7,2,2,13,1,6,8,1,1,4,3,5,9,2,7,1,2,0,0,0,1,1,0,1,2,1,1,0,1,5,3,4,1,2,2,1,2,2,0,5,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2,0,0,1,4,1,1,7,4,1,0,1,2,0,0,4,0,0,0,3,0
"5-9 years",8,12,9,9,14,14,33,28,36,43,39,61,40,33,34,26,10,13,16,13,40,34,27,54,30,30,49,76,105,77,43,16,12,13,26,8,4,7,9,12,13,8,11,10,11,2,6,14,7,7,5,3,3,9,7,1,5,1,1,1,13,3,7,5,1,1,3,9,6,9,1,5,3,0,0,0,0,1,1,0,2,1,2,2,0,2,8,2,3,1,0,0,0,0,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,3,0,2,0,1,2,3,1,0,6,2,3,0,3,0,0,0,2,0
"10-14 years",8,7,9,6,7,10,19,24,20,36,30,32,22,26,34,10,6,12,10,12,26,34,31,41,32,23,41,55,60,64,35,23,5,7,28,6,7,7,3,12,14,16,13,6,7,5,6,10,14,11,1,0,6,14,6,2,0,1,2,1,13,5,6,8,0,2,4,5,3,9,6,6,2,1,0,0,0,1,2,0,3,1,1,3,2,2,7,3,3,2,0,1,2,0,0,1,5,1,3,0,0,0,0,0,1,0,2,2,0,3,0,3,1,2,3,6,1,4,0,1,7,5,3,0,3,0,2,3,2,0,2,1,4,0
"15-19 years",11,20,12,17,13,19,27,32,66,68,77,52,51,25,54,40,19,26,17,30,76,82,82,97,91,44,67,75,108,110,51,28,14,19,26,8,8,6,8,13,15,19,9,15,13,6,17,11,17,7,4,3,6,11,7,4,5,12,3,4,11,7,4,5,2,3,8,10,9,14,5,6,3,3,2,0,2,0,7,2,2,2,6,7,3,3,14,1,3,1,2,6,6,1,3,3,8,7,0,0,3,2,3,1,2,4,3,4,9,6,4,2,4,10,5,5,11,9,4,3,4,6,4,1,2,3,3,2,8,1,2,4,8,1
"20-24 years",25,25,25,27,24,37,40,58,109,116,93,79,77,62,86,20,18,30,35,43,86,118,88,96,100,31,49,147,166,112,58,10,10,24,38,5,3,3,10,8,10,5,6,12,11,7,7,5,10,2,4,8,7,7,4,12,9,12,4,8,11,6,2,8,3,4,7,4,10,8,3,5,5,5,1,0,0,3,3,1,1,5,11,9,3,7,13,2,1,1,5,11,3,9,5,6,5,5,2,2,6,5,5,0,5,8,11,5,11,9,8,4,6,14,11,9,11,4,6,3,3,10,6,4,3,6,2,4,2,3,7,10,20,3
"25-29 years",22,29,27,39,29,56,70,80,133,166,139,102,132,68,97,52,38,39,56,49,114,107,78,74,76,30,37,123,141,81,46,9,11,24,41,5,3,1,12,4,8,7,6,4,8,8,7,7,1,3,10,3,6,6,3,9,10,5,1,5,6,3,3,1,3,1,4,3,7,5,7,1,6,2,0,1,2,1,2,1,2,0,2,2,6,1,4,1,2,3,1,1,4,1,4,4,7,0,0,1,1,3,2,0,2,3,1,0,11,7,3,4,0,8,5,8,9,8,4,4,6,8,4,1,3,4,4,1,3,4,4,11,21,3
"30-34 years",22,28,38,28,36,44,77,87,121,162,145,95,108,71,96,29,46,38,34,40,76,93,47,73,60,22,39,88,101,62,36,11,15,19,27,6,2,3,2,3,5,2,5,4,6,4,5,4,1,4,4,2,3,6,4,3,3,7,5,2,1,2,2,5,0,1,3,3,4,1,1,3,2,1,2,0,0,1,1,1,2,1,4,1,0,3,4,2,1,0,1,2,3,1,1,0,8,1,0,1,0,2,1,1,1,1,1,3,3,5,1,2,4,3,4,4,2,3,3,1,5,2,2,2,2,2,3,2,0,6,4,3,9,2
"35-39 years",18,32,23,23,25,47,57,71,82,97,102,102,94,62,70,24,27,17,28,40,59,52,44,36,33,16,26,57,74,51,17,10,3,8,26,3,4,5,1,5,4,5,5,2,3,2,5,5,6,3,0,1,2,6,1,2,2,1,2,3,7,1,3,5,2,0,2,1,3,6,5,4,0,0,0,0,1,1,1,3,0,0,6,2,4,1,8,0,1,0,1,0,0,0,1,1,3,2,1,0,0,0,0,2,0,5,0,0,2,1,1,2,2,1,2,5,2,0,1,3,3,4,1,2,0,0,1,0,2,3,0,1,4,1
"40-44 years",15,21,15,18,19,25,26,59,58,75,73,57,58,35,36,8,24,16,8,12,31,37,26,24,23,10,12,21,49,31,10,10,2,6,21,3,0,2,5,5,6,5,5,2,4,1,1,9,3,1,0,1,3,1,3,0,2,1,0,0,7,2,2,2,0,0,1,4,1,4,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,2,1,1,3,1,3,0,2,0,1,1,2,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,2,3,3,2,0,1,1,1,2,1,2,1,1,0,0,2,1,1,7,1
"45-49 years",7,11,13,18,7,12,20,23,47,63,49,31,37,19,31,7,5,15,10,5,15,10,10,12,18,9,12,21,16,31,20,5,0,6,7,1,1,3,4,1,3,0,2,4,0,2,2,3,3,0,1,0,0,1,4,0,2,1,0,0,4,1,0,1,0,0,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,1,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2,3,1,2,0,0,0,2,1,1,1,0,0,0,0,0,2,1,1,9,0
"50-54 years",5,5,3,4,6,7,10,16,26,27,23,12,13,13,8,2,3,5,4,5,13,12,10,13,10,9,13,16,11,23,16,1,0,2,7,0,0,1,1,2,4,2,0,2,0,1,3,2,1,1,1,0,1,2,3,0,1,3,1,1,1,0,0,1,1,1,0,0,0,3,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,3,0,0,1,1,2,0,1,1,0,0,0,1,0,0,1,2,0,1,5,0
"55-59 years",1,1,3,6,3,2,4,4,6,11,16,6,13,9,5,6,3,3,3,2,11,7,5,5,4,4,4,9,5,20,11,1,3,6,5,2,1,0,1,1,2,1,2,4,0,2,1,2,1,0,1,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"60-64 years",0,2,3,1,1,2,1,0,2,3,3,2,1,3,6,1,0,2,0,0,1,2,2,0,4,2,4,5,4,18,10,1,1,0,7,1,0,0,3,2,0,0,0,0,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,1,3,1,0,0,1,3,0,1,0,1,0,1,0,0,1,0
"65-69 years",1,1,2,5,0,1,3,0,3,3,1,2,0,0,2,3,0,2,1,3,3,1,2,1,0,1,0,4,0,10,4,2,1,0,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"70 years and over",1,1,2,0,1,2,0,0,0,0,0,2,1,0,1,0,1,3,1,0,3,2,1,0,2,0,2,6,0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0

